t,P,D,u,lambda
0.1,0.9992172405732926,50.0,0.8903232651916265,0.897777119121532
0.2,1.002508537220772,50.0,1.2373417796396058,0.8839262732759295
0.30000000000000004,1.009845534468367,50.0,1.5289880827426057,0.858946913203704
0.4,1.0200413739309144,50.0,1.70676527491209,0.8268372295822863
0.5,1.0316860473038474,50.0,1.7834691271589505,0.7919668127159513
0.6,1.04370507905751,50.0,1.7907568020890474,0.7573702525226416
0.7,1.0554013804991114,50.0,1.754405786496792,0.7247572994051037
0.7999999999999999,1.06635050580061,50.0,1.6916427274984032,0.6949564756369656
0.8999999999999999,1.0763052374365303,50.0,1.6135046166009734,0.6682809785441776
0.9999999999999999,1.0851316039960406,50.0,1.5270826495346883,0.6447600490216453
1.0999999999999999,1.092768580771802,50.0,1.436994910940788,0.6242745737589401
1.2,1.0992026617426527,50.0,1.3462840674031775,0.6066345183398849
1.3,1.1044514689254172,50.0,1.2569634551048487,0.591622481395993
1.4000000000000001,1.1085529163471906,50.0,1.1703565610521087,0.5790176915638862
1.5000000000000002,1.1115578781245863,50.0,1.0873143070246332,0.5686087192058007
1.6000000000000003,1.1135251339771945,50.0,1.0083583527485698,0.5601996859605388
1.7000000000000004,1.1145178383399221,50.0,0.9337782755803923,0.553612757257535
1.8000000000000005,1.1146010355502505,50.0,0.8636991003490206,0.5486885503636495
1.9000000000000006,1.1138399093159355,50.0,0.7981291973589028,0.5452854181192933
2.0000000000000004,1.1122985569950454,50.0,0.7369948221793946,0.5432781719259264
2.1000000000000005,1.1100391442883817,50.0,0.6801653418262712,0.5425565715980911
2.2000000000000006,1.1071213385213317,50.0,0.6274718284261132,0.5430237685618245
2.3000000000000007,1.1036019473144743,50.0,0.5787208443852614,0.5445948043571147
2.400000000000001,1.099534709168789,50.0,0.5337046899064831,0.5471952159747674
2.500000000000001,1.0949701963975007,50.0,0.49220901754203833,0.550759769790215
2.600000000000001,1.0899558008400554,50.0,0.45401847034748916,0.5552313286362786
2.700000000000001,1.0845357801205684,50.0,0.4189208284371759,0.5605598469410894
2.800000000000001,1.0787513476669326,50.0,0.3867100276148764,0.5667014838127268
2.9000000000000012,1.0726407938275317,50.0,0.35718832705392695,0.573617821605687
3.0000000000000013,1.0662396285822304,50.0,0.33016784034180635,0.5812751766930058
3.1000000000000014,1.0595807388066516,50.0,0.3054715988565465,0.5896439891629748
3.2000000000000015,1.052694555006921,50.0,0.2829342840675617,0.5986982784952095
3.3000000000000016,1.0456092240442427,50.0,0.2624027432671637,0.6084151526350075
3.4000000000000017,1.0383507857363343,50.0,0.24373639002203099,0.618774358044648
3.5000000000000018,1.0309433524655993,50.0,0.22680758600196818,0.6297578580567512
3.600000000000002,1.023409292154514,50.0,0.211502105762995,0.6413494259531737
3.700000000000002,1.0157694163204007,50.0,0.1977198031792867,0.6535342373247537
3.800000000000002,1.0080431765743003,50.0,0.185375632782097,0.6662984429491375
3.900000000000002,1.000248875150275,50.0,0.17440124093081236,0.6796286978755999
