t,theta,omega
0.01,0.7850512998056338,-0.06932447565427709
0.02,0.784011901744952,-0.13853157488117282
0.03,0.782281219517248,-0.2075733101370855
0.04,0.7798611468217939,-0.27640165819464124
0.05,0.7767540580345769,-0.3449684965228204
0.060000000000000005,0.7729628095092373,-0.413225542186168
0.07,0.7684907414734566,-0.48112429397260503
0.08,0.7633416804850163,-0.5486159784462147
0.09,0.7575199424048609,-0.6156515006058508
0.09999999999999999,0.7510303358377759,-0.6821813998122493
0.10999999999999999,0.7438781659847692,-0.7481558116252292
0.11999999999999998,0.736069238844947,-0.8135244361682292
0.12999999999999998,0.7276098656986397,-0.8782365136094973
0.13999999999999999,0.7185068677977956,-0.9422408073173801
0.15,0.7087675811842625,-1.005485595211019
0.16,0.6983998615515656,-1.0679186697869913
0.17,0.6874120890612059,-1.1294873472567517
0.18000000000000002,0.6758131730204082,-1.1901384861788644
0.19000000000000003,0.663612556324683,-1.2498185159137443
0.20000000000000004,0.6508202195655917,-1.3084734751668248
0.21000000000000005,0.6374466847017829,-1.366049060818665
0.22000000000000006,0.6235030181897372,-1.422490687167538
0.23000000000000007,0.6090008334697928,-1.4777435556316563
0.24000000000000007,0.5939522927029675,-1.5317527348746403
0.25000000000000006,0.5783701076548896,-1.5844632512295171
0.26000000000000006,0.5622675396248639,-1.6358201892039848
0.2700000000000001,0.545658398320742,-1.685768801753537
0.2800000000000001,0.5285570395838997,-1.7342546299101598
0.2900000000000001,0.510978361873243,-1.7812236312535898
0.3000000000000001,0.49293780142280863,-1.8266223166107023
0.3100000000000001,0.4744513259941678,-1.8703978942676385
0.3200000000000001,0.45553542715249856,-1.9124984208801512
0.3300000000000001,0.43620711100381854,-1.9528729581717368
0.34000000000000014,0.4164838873404341,-1.9914717344179407
0.35000000000000014,0.39638375715210955,-2.0282463096303007
0.36000000000000015,0.37592519847171696,-2.063149743276292
0.37000000000000016,0.3551271505361125,-2.0961367633038948
0.38000000000000017,0.3340089962555907,-2.1271639351825096
0.3900000000000002,0.3125905429983869,-2.156189829627316
0.4000000000000002,0.2908920017101925,-2.1831751876430565
0.4100000000000002,0.2689339644023851,-2.208083081506778
0.4200000000000002,0.2467373800564953,-2.2308790703081924
0.4300000000000002,0.22432352900618452,-2.2515313486817052
0.4400000000000002,0.20171399587151956,-2.270010887396268
0.45000000000000023,0.1789306411334378,-2.2862915645181836
0.46000000000000024,0.15599557144883133,-2.3003502859276934
0.47000000000000025,0.13293110881847303,-2.3121670940521715
